                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99098,                 1.6663,                0.98554,                0.97505,                0.29192,                0.32404,                0.26951,                0.67834,                 1.3862,                0.78787,               0.070286,              0.0033016,              0.0033016
                      1,                0.88554,                0.77894,                0.92784,                0.89493,                0.38074,                0.42427,                0.33011,                0.68273,                0.72054,                0.76678,               0.040253,              0.0066021,              0.0066021
                      2,                0.90059,                0.72826,                0.92802,                0.84975,                0.44698,                0.47504,                0.33044,                0.88082,                0.74104,                0.81801,               0.010187,              0.0098696,              0.0098696
                      3,                0.85551,                0.67639,                0.92401,                0.91212,                0.42868,                0.49247,                0.36383,                0.69265,                0.61735,                0.77785,              0.0098515,              0.0098515,              0.0098515
                      4,                0.79849,                0.62225,                0.90779,                0.88645,                0.47521,                0.52392,                0.37127,                 0.7753,                0.62269,                0.78536,              0.0098515,              0.0098515,              0.0098515
                      5,                0.77008,                0.57361,                0.89667,                0.85586,                0.50017,                0.52529,                 0.3964,                0.71996,                0.54318,                0.77352,               0.009802,               0.009802,               0.009802
                      6,                  0.727,                0.52578,                0.88172,                 0.8465,                0.55419,                0.58127,                0.44846,                0.64289,                 0.4872,                0.75185,              0.0097525,              0.0097525,              0.0097525
                      7,                0.68939,                0.50242,                0.87569,                0.86768,                0.52468,                0.55199,                0.40804,                0.65984,                0.50945,                  0.754,               0.009703,               0.009703,               0.009703
                      8,                 0.6643,                0.48115,                0.87236,                0.92816,                 0.5429,                 0.6149,                 0.4591,                0.76204,                0.46408,                0.76886,              0.0096535,              0.0096535,              0.0096535
                      9,                0.64794,                0.46012,                0.86749,                0.87631,                0.54105,                0.56485,                0.43845,                0.62962,                0.44047,                0.74663,               0.009604,               0.009604,               0.009604
                     10,                0.62577,                0.45364,                0.86334,                0.92233,                0.51795,                0.59182,                 0.4466,                0.63021,                0.45905,                0.75041,              0.0095545,              0.0095545,              0.0095545
                     11,                0.62006,                0.43063,                0.86334,                0.90736,                   0.52,                  0.579,                0.44275,                0.63675,                0.45778,                0.75267,               0.009505,               0.009505,               0.009505
                     12,                0.60745,                0.42209,                0.85719,                0.91554,                0.46117,                0.55896,                0.43842,                0.59776,                0.40913,                0.73642,              0.0094555,              0.0094555,              0.0094555
                     13,                0.59017,                0.41395,                0.85455,                0.88181,                0.49094,                0.56143,                0.43696,                0.63348,                0.40356,                 0.7483,               0.009406,               0.009406,               0.009406
                     14,                0.59303,                0.40139,                0.84937,                0.94175,                 0.4988,                0.56012,                0.44896,                0.58153,                 0.4045,                0.73571,              0.0093565,              0.0093565,              0.0093565
                     15,                0.56595,                0.38991,                0.84728,                0.92859,                0.54051,                0.65202,                0.50039,                0.61066,                0.39304,                0.74051,               0.009307,               0.009307,               0.009307
                     16,                0.55808,                 0.3831,                0.84847,                0.92189,                0.49982,                 0.5932,                0.46113,                0.58303,                0.42426,                0.73265,              0.0092575,              0.0092575,              0.0092575
                     17,                0.55656,                0.38002,                0.84507,                0.89075,                0.55708,                0.60482,                0.47251,                0.55243,                0.36483,                0.72976,               0.009208,               0.009208,               0.009208
