                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0036,                 1.5335,                0.96499,                0.93144,                0.86914,                0.96222,                 0.7537,                0.76904,                 1.4514,                0.81944,               0.070286,              0.0033016,              0.0033016
                      1,                0.88503,                0.73239,                0.92345,                0.94981,                0.94988,                0.98097,                0.74494,                0.79152,                 0.7151,                0.80761,               0.040253,              0.0066021,              0.0066021
                      2,                0.90411,                 0.6993,                0.92641,                0.96237,                0.95655,                0.98614,                0.72853,                0.90593,                0.69241,                 0.8154,               0.010187,              0.0098696,              0.0098696
                      3,                0.86203,                0.65216,                0.92367,                0.96561,                0.96725,                0.98943,                0.75473,                0.81311,                0.56874,                0.79428,              0.0098515,              0.0098515,              0.0098515
                      4,                0.80031,                0.60631,                 0.9088,                0.97515,                0.96559,                0.99064,                0.77067,                 0.7002,                0.61416,                0.76564,              0.0098515,              0.0098515,              0.0098515
                      5,                0.76486,                0.55776,                0.89319,                 0.9719,                0.95669,                0.98777,                 0.8087,                0.67588,                0.51982,                0.75579,               0.009802,               0.009802,               0.009802
                      6,                 0.7275,                0.51435,                0.88178,                0.97544,                0.97728,                0.99191,                0.81495,                0.70959,                0.49217,                 0.7689,              0.0097525,              0.0097525,              0.0097525
                      7,                0.69372,                0.48761,                0.87422,                0.97413,                0.96358,                0.99061,                0.79922,                0.71213,                0.50772,                0.77667,               0.009703,               0.009703,               0.009703
                      8,                0.66095,                0.47121,                0.87137,                0.98522,                0.97539,                0.99268,                  0.793,                0.72904,                0.46366,                0.78467,              0.0096535,              0.0096535,              0.0096535
                      9,                0.65552,                0.44466,                0.86815,                0.96877,                0.97711,                0.99111,                0.83584,                0.58398,                0.45404,                0.74958,               0.009604,               0.009604,               0.009604
                     10,                0.63174,                0.43888,                0.86485,                0.98408,                0.97345,                0.99185,                0.82447,                0.65209,                0.41103,                0.75967,              0.0095545,              0.0095545,              0.0095545
                     11,                0.61981,                 0.4254,                0.86204,                0.98307,                0.97175,                 0.9911,                0.80341,                0.67157,                0.39856,                0.75663,               0.009505,               0.009505,               0.009505
                     12,                0.61012,                0.40837,                0.85515,                0.97525,                0.96966,                0.99158,                0.84308,                0.54336,                0.39951,                0.74631,              0.0094555,              0.0094555,              0.0094555
                     13,                0.59844,                0.40004,                 0.8538,                 0.9817,                0.96949,                0.98972,                0.80747,                0.68099,                0.40953,                0.76682,               0.009406,               0.009406,               0.009406
                     14,                0.58782,                0.39423,                0.84808,                0.98111,                 0.9714,                0.99259,                0.82295,                 0.6696,                0.39153,                 0.7664,              0.0093565,              0.0093565,              0.0093565
                     15,                0.57241,                0.37795,                0.84745,                0.98374,                0.96949,                0.99137,                0.81703,                0.68249,                0.36423,                0.75533,               0.009307,               0.009307,               0.009307
                     16,                0.56421,                0.37321,                0.84713,                0.98012,                0.97933,                0.99295,                0.84933,                0.61108,                 0.3626,                0.74061,              0.0092575,              0.0092575,              0.0092575
                     17,                0.55315,                0.36906,                0.84308,                0.98759,                0.97539,                0.99323,                 0.8565,                0.55223,                0.34821,                0.72503,               0.009208,               0.009208,               0.009208
                     18,                0.54426,                0.36717,                 0.8431,                0.98999,                0.97322,                0.99263,                0.85043,                0.57877,                0.34866,                 0.7364,              0.0091585,              0.0091585,              0.0091585
                     19,                0.54306,                0.36401,                0.84291,                0.98609,                0.97651,                0.99279,                0.82501,                0.65832,                0.36426,                0.76283,               0.009109,               0.009109,               0.009109
                     20,                0.53325,                0.35675,                0.83851,                0.98594,                0.96555,                0.99087,                0.83702,                0.59741,                0.34713,                0.74543,              0.0090595,              0.0090595,              0.0090595
                     21,                0.52987,                0.34931,                0.83866,                0.98215,                0.97496,                0.99297,                0.85923,                 0.5677,                0.34785,                0.73817,                0.00901,                0.00901,                0.00901
